id,year,orb_drb_avg,height_band
164,2006,284.6595744680851,2.1-2.2
165,2007,313.60759493670884,2.1-2.2
166,2008,257.34,2.1-2.2
167,2009,269.989898989899,2.1-2.2
168,2010,282.6736842105263,2.1-2.2
169,2011,238.53508771929825,2.1-2.2
170,2012,224.81443298969072,2.1-2.2
171,2013,280.2888888888889,2.1-2.2
172,2014,293.6039603960396,2.1-2.2
173,2015,329.49,2.1-2.2
174,2016,356.35714285714283,2.1-2.2
175,2017,310.8076923076923,2.1-2.2
